Date,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
2022-04-26,33.8734,33.9696,34.293
2022-04-27,34.0837,34.1776,34.4934
2022-04-28,34.208,34.2837,34.572
2022-04-29,34.0916,34.1873,34.503
2022-04-30,34.1142,34.211075,34.53175
2022-05-01,34.1368,34.23485,34.560500000000005
2022-05-02,34.159400000000005,34.258625,34.58925
2022-05-03,34.182,34.2824,34.618
2022-05-04,34.00125,34.1024,34.43435
2022-05-05,33.8205,33.9224,34.2507
2022-05-06,34.1114,34.2086,34.538
2022-05-07,34.153866666666666,34.25046666666667,34.575466666666664
2022-05-08,34.196333333333335,34.29233333333333,34.61293333333333
2022-05-09,34.2388,34.3342,34.6504
2022-05-10,34.305,34.3993,34.7201
2022-05-11,34.4101,34.5072,34.8372
2022-05-12,34.4532,34.5499,34.8713
2022-05-13,34.4621,34.5613,34.89
2022-05-14,34.44245,34.5411,34.869825
2022-05-15,34.422799999999995,34.5209,34.84965
2022-05-16,34.40315,34.5007,34.829475
2022-05-17,34.3835,34.4805,34.8093
2022-05-18,34.339,34.4386,34.7655
2022-05-19,34.3683,34.4672,34.7968
2022-05-20,34.1619,34.2616,34.5957
2022-05-21,34.1212,34.2198,34.55003333333333
2022-05-22,34.0805,34.178000000000004,34.50436666666667
2022-05-23,34.0398,34.1362,34.4587
2022-05-24,33.9351,34.0336,34.3536
2022-05-25,33.9354,34.0262,34.3475
2022-05-26,34.0297,34.1251,34.4439
2022-05-27,33.9243,34.016,34.3396
2022-05-28,33.89073333333334,33.98623333333333,34.313266666666664
2022-05-29,33.857166666666664,33.956466666666664,34.28693333333333
2022-05-30,33.8236,33.9267,34.2606
2022-05-31,33.917,34.0166,34.3568
2022-06-01,34.0854,34.1801,34.4972
2022-06-02,34.1165,34.2164,34.5529
2022-06-03,34.1238,34.222975,34.55825
2022-06-04,34.1311,34.22955,34.5636
2022-06-05,34.1384,34.236125,34.56895
2022-06-06,34.1457,34.2427,34.5743
2022-06-07,34.1887,34.2844,34.6197
2022-06-08,34.2069,34.3059,34.6376
2022-06-09,34.2645,34.3601,34.6936
2022-06-10,34.3969,34.4886,34.8144
2022-06-11,34.44533333333334,34.539366666666666,34.87116666666667
2022-06-12,34.493766666666666,34.590133333333334,34.92793333333333
2022-06-13,34.5422,34.6409,34.9847
2022-06-14,34.6854,34.7832,35.1114
2022-06-15,34.8058,34.9035,35.2271
2022-06-16,34.703,34.8027,35.1226
2022-06-17,34.9398,35.0384,35.3562
2022-06-18,34.9676,35.06523333333333,35.386966666666666
2022-06-19,34.995400000000004,35.09206666666667,35.41773333333334
2022-06-20,35.0232,35.1189,35.4485
2022-06-21,35.1113,35.209,35.531
2022-06-22,35.1951,35.2924,35.6243
